name,ats,token,headcount,source
Coder,ashby,Coder,,bessemer
LiveKit,ashby,livekit,,index
Checkly,ashby,checkly,,accel
Deepnote,ashby,deepnote,,index
C1 (ConductorOne),ashby,c1,,accel
Coiled,lever,coiled,,bessemer
Dagster Labs,greenhouse,dagsterlabs,,index
100ms,lever,100ms,,accel
Adaptive Security,ashby,adaptivesecurity,,a16z
Affinity,ashby,affinity,,pear
Airbyte,ashby,airbyte,,accel
Alloy,greenhouse,alloy,,bessemer
Anrok,ashby,anrok,,khosla
Anyscale,ashby,anyscale,,nea
Arize AI,greenhouse,arizeai,,battery
Armada,greenhouse,armada,,contrary
AtoB,ashby,atob,,general-catalyst
Avoca,ashby,avoca,,kleiner-perkins
Baseten,ashby,baseten,,greylock
Braintrust,ashby,braintrust,,a16z
Branch,greenhouse,branch,,pear
Cambio,ashby,cambio,,y-combinator
Cartesia,ashby,cartesia,,kleiner-perkins
Chainguard,greenhouse,chainguard,,sequoia
Chroma,ashby,trychroma,,general-catalyst
Clerk,ashby,clerk,,a16z
Column,ashby,column,,a16z
Common Room,ashby,commonroom,,index
Cortex,greenhouse,cortex,,sequoia
Cresta,greenhouse,cresta,,greylock
Cribl,greenhouse,cribl,,sequoia
Datafold,ashby,datafold,,nea
Deepgram,ashby,deepgram,,y-combinator
Depot,ashby,depot,,y-combinator
Descope,greenhouse,descope,,lightspeed
Doppler,ashby,doppler,,sequoia
Endor Labs,greenhouse,endorlabs,,lightspeed
Evervault,ashby,evervault,,index
Fireworks AI,ashby,fireworks,,sequoia
Front,ashby,frontapp,,battery
Galileo,greenhouse,galileo,,battery
Gremlin,greenhouse,gremlin,,index
Harmonic,greenhouse,harmonic,,sequoia
Hightouch,greenhouse,hightouch,,y-combinator
incident.io,ashby,incident,,index
Increase,lever,increase,,y-combinator
Infisical,ashby,infisical,,y-combinator
Inngest,ashby,inngest,,a16z
Lago,ashby,lago,,y-combinator
LangChain,ashby,langchain,,sequoia
LaunchDarkly,greenhouse,launchdarkly,,bessemer
Lithic,greenhouse,lithic,,bessemer
LlamaIndex,ashby,llamaindex,,greylock
Material Security,ashby,materialsecurity,,a16z
Materialize,ashby,materialize,,lightspeed
Merge,greenhouse,merge,,accel
Metronome,greenhouse,metronome,,nea
Middesk,ashby,middesk,,accel
Modern Treasury,ashby,moderntreasury,,y-combinator
Monte Carlo,ashby,montecarlodata,,accel
Mux,ashby,mux,,accel
Nango,ashby,nango,,y-combinator
Neon,ashby,neon,,khosla
Netlify,greenhouse,netlify,,a16z
Numeral,ashby,numeral,,y-combinator
Omnea,ashby,omnea,,khosla
OpenRouter,ashby,openrouter,,a16z
Orb,ashby,orb,,greylock
Orum,ashby,orum,,accel
Panther Labs,greenhouse,pantherlabs,,lightspeed
Paragon,ashby,paragon,,y-combinator
Persona,ashby,persona,,a16z
Pinecone,ashby,pinecone,,a16z
PlanetScale,greenhouse,planetscale,,a16z
Porter,lever,porter,,y-combinator
PostHog,ashby,posthog,,general-catalyst
Prefect,ashby,prefect,,bessemer
Prisma,greenhouse,prisma,,kleiner-perkins
Recall.ai,greenhouse,recall,,bessemer
Render,ashby,render,,general-catalyst
Resend,ashby,resend,,y-combinator
Sardine,ashby,sardine,,a16z
Secureframe,ashby,secureframe,,kleiner-perkins
Sentra,ashby,sentra,,bessemer
Sifflet,ashby,sifflet,,bessemer
Skyflow,ashby,skyflow,,khosla
Snorkel AI,greenhouse,snorkelai,,lightspeed
Socket Security,greenhouse,socket,,a16z
Sourcegraph,greenhouse,sourcegraph91,,a16z
Stainless,ashby,stainlessapi,,a16z
StrongDM,ashby,strongdm,,sequoia
Stytch,ashby,stytch,,index
Supabase,ashby,supabase,,lightspeed
Tailscale,greenhouse,tailscale,,accel
Teleport,ashby,goteleport,,bessemer
Temporal Technologies,greenhouse,temporaltechnologies,,sequoia
Together AI,greenhouse,togetherai,,kleiner-perkins
Trigger.dev,ashby,triggerdev,,y-combinator
Unit,ashby,unit,,accel
Vanta,ashby,vanta,,sequoia
Warp,greenhouse,warp,,sequoia
Windmill,ashby,windmill,,y-combinator
WorkOS,ashby,workos,,lightspeed
Zed Industries,ashby,zed,,sequoia
